'G01'	[2025;3;17;6;42;2]	'22740732.879 6'	'119503359.28806'	'22740734.141 4'	'93119517.11404'	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
'G03'	[2025;3;17;6;42;11]	'21103737.012 7'	'110900918.35407'	'21103738.990 7'	'86416299.82407'	'21103739.451 7'	'86416274.82207'	'G03'	[2025;3;17;6;42;10]	[21103591.2160000,7]	110900151.668070	[21103593.0990000,7]	86415702.4050700	[21103593.5780000,7]	86415677.4070700
'G06'	[2025;3;17;6;42;11]	'22794918.071 6'	'119788143.63706'	'22794926.268 6'	'93341420.58706'	'22794926.151 7'	'93341408.62007'	'G06'	[2025;3;17;6;42;10]	[22795295.4190000,6]	119790126.420060	[22795303.6010000,6]	93342965.5980600	[22795303.5770000,7]	93342953.6330700
'G14'	[2025;3;17;6;42;11]	'19974007.345 7'	'104964138.27807'	'19974007.329 6'	'81790229.83506'	'19974006.608 8'	'81790213.84208'	'G14'	[2025;3;17;6;42;10]	[19973904.6340000,7]	104963598.196070	[19973904.5760000,6]	81789808.9910600	[19973903.8590000,8]	81789792.9990800
'G17'	[2025;3;17;6;42;11]	'21274032.559 7'	'111795829.42307'	'21274030.726 7'	'87113610.16507'	'21274030.437 7'	'87113588.17707'	'G17'	[2025;3;17;6;42;10]	[21274121.7540000,7]	111796298.234070	[21274119.9570000,7]	87113975.4710700	[21274119.8900000,7]	87113953.4680700
'G19'	[2025;3;17;6;42;11]	'22266032.483 6'	'117008809.96206'	'22266032.411 5'	'91175691.28105'	[]	[]	'G19'	[2025;3;17;6;42;10]	[22266372.3060000,6]	117010594.787060	[22266372.0940000,5]	91177082.0510500	[]	[]
'G22'	[2025;3;17;6;42;11]	'20979208.577 7'	'110246478.64807'	'20979206.489 5'	'85906343.04505'	[]	[]	'G22'	[2025;3;17;6;42;10]	[20979386.8800000,7]	110247415.883070	[20979384.8530000,5]	85907073.3590500	[]	[]
'G30'	[2025;3;17;6;42;11]	'23967000.690 5'	'125947326.25305'	'23967026.125 4'	'98140954.38804'	'23967026.256 6'	'98140963.34406'	'G30'	[2025;3;17;6;42;10]	[23966425.0320000,5]	125944298.124050	[23966449.8270000,4]	98138594.8530400	[23966449.8020000,6]	98138603.7810600
'G01'	[2025;3;17;6;42;12]	'22746768.704 6'	'119535081.24906'	'22746770.420 4'	'93144235.52504'	'22746770.227 7'	'93144216.52907'	'G01'	[2025;3;17;6;42;11]	[22746165.2250000,6]	119531908.225060	[22746166.6080000,4]	93141763.0400400	[22746166.4590000,7]	93141744.0360700
'G02'	[2025;3;17;6;42;12]	'25022931.761 6'	'131496377.94206'	'25022934.333 3'	'102464741.95503'	[]	[]	'G02'	[2025;3;17;6;42;11]	[25022336.6290000,6]	131493252.335060	[25022339.6160000,3]	102462306.422030	[]	[]
'G03'	[2025;3;17;6;42;12]	'21103883.096 7'	'110901685.87507'	'21103885.033 7'	'86416897.88907'	'21103885.071 7'	'86416872.89707'	'G03'	[2025;3;17;6;42;11]	[21103737.0120000,7]	110900918.354070	[21103738.9900000,7]	86416299.8240700	[21103739.4510000,7]	86416274.8220700
